,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
1616,2022.06.30 12:49:41:623,3.325,1329.50548412964,58.8805150274659,3.28738654153682,685.990319622681,1136.3052645783,76.2394871860743,12.865709,-2.009023,-6.840376,0.0,0.0,0.0,254,254,2456,0.0794328234724281,-11,0.0,0.548,ok
1617,2022.06.30 12:49:42:160,3.862,1332.66905083037,58.5534563469247,3.27568392812885,694.121278272942,1135.07874490898,76.1491493433714,12.857088,-2.007662,-6.836303,0.0,0.0,0.0,254,254,2456,0.0794328234724281,-11,0.0,0.5369999999999999,ok
1618,2022.06.30 12:49:42:707,4.409,1335.83168977056,58.2376150314782,3.25962070352003,702.041111862287,1133.93794901183,75.9559638295323,12.848188,-2.006218,-6.832132,0.050802,-0.045721,-0.023799,254,254,2456,0.0794328234724281,-11,0.0,0.5469999999999997,ok
1619,2022.06.30 12:49:43:254,4.956,1338.86319614704,57.918913972731,3.23709078791428,709.960945451632,1132.60511375662,75.6027130652219,12.840504,-2.005094,-6.828367,0.0,0.0,0.0,254,254,2456,0.0794328234724281,-11,0.0,0.5470000000000006,ok
1620,2022.06.30 12:49:43:822,5.524,1341.93044163678,57.6078141563669,3.22835787663666,717.746890248731,1131.32914271565,75.5717048374936,12.832836,-2.003885,-6.82472,0.001467,-0.001021,-0.001221,254,254,2456,0.0794328234724281,-11,0.0,0.5679999999999996,ok
1621,2022.06.30 12:49:44:355,6.057,1331.84157171038,63.1460148133482,3.5960350697207,600.432738275733,1185.87705765312,83.5350409988314,-4.989679,11.285796,-1.527702,0.0,0.0,0.0,254,254,2456,0.0794328234724281,-11,0.0,0.5330000000000004,ok
1622,2022.06.30 12:49:44:919,6.621,1337.27537861326,63.3670154160551,3.68856538335012,598.223667644896,1192.90926930969,86.0311391865835,-4.987913,11.283493,-1.526548,0.0,0.0,0.0,254,254,2456,0.0794328234724281,-11,0.0,0.5640000000000001,ok
1623,2022.06.30 12:49:45:468,7.17,1341.86962119977,63.5485456958292,3.75728008798884,596.43684713589,1198.80983662928,87.9326064568013,-4.985349,11.279869,-1.524598,0.0,0.0,0.0,254,254,2456,0.0794328234724281,-11,0.0,0.5489999999999995,ok
1624,2022.06.30 12:49:46:015,7.717,1321.95222726159,64.2004676096656,3.49714048917098,574.273625564296,1187.96679409604,80.6373999351636,-8.694727,6.75764,0.714004,0.024072,-0.052712,0.001644,254,254,2456,0.0630957344480193,-12,0.0,0.5469999999999997,ok
1625,2022.06.30 12:49:46:564,8.266,1323.96212120232,64.4475019955391,3.52526324413772,569.994471816346,1192.20578586045,81.4086275417358,-8.691864,6.760787,0.713395,0.0,0.0,0.0,254,254,2456,0.0630957344480193,-12,0.0,0.5490000000000004,ok
