,Unnamed: 0,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
349,349,2022.06.30 12:40:38:277,193.64,955.969488575218,162.390376852996,4.39647226223345,-908.491484526804,288.358424170459,73.2823637649417,-0.349158,-2.075806,-0.644903,7e-06,3e-06,-4e-06,254,254,2,0.251188643150958,-6,0.0,0.563999999999993,ok
350,350,2022.06.30 12:40:38:857,194.22,956.60512559438,162.397908924506,4.33986136151837,-909.202095980327,288.452415686425,72.3886652942747,-0.349334,-2.075148,-0.64516,1.9e-05,-9e-06,-8e-06,254,254,2,0.251188643150958,-6,0.0,0.5800000000000125,ok
351,351,2022.06.30 12:40:39:405,194.768,954.357136001328,162.815040094663,4.52922789024755,-908.90353720309,281.091216632914,75.363326812163,1.410828,-1.657756,-1.737005,-2e-06,-3e-06,4e-06,254,254,2,0.158489319246111,-8,0.0,0.5480000000000018,ok
352,352,2022.06.30 12:40:39:953,195.316,955.255548593348,162.884944178175,4.49095848694936,-910.149703822805,280.260428855563,74.7982069794089,1.402548,-1.658071,-1.734873,0.000161,-0.000336,-0.00034,254,254,2,0.158489319246111,-8,0.0,0.5480000000000018,ok
353,353,2022.06.30 12:40:40:500,195.863,956.006090624012,162.944878679484,4.469258027121,-911.184745381193,279.535956664557,74.4960000701249,1.402052,-1.657751,-1.734477,-0.006828,-0.002889,-0.019078,254,254,2,0.158489319246111,-8,0.0,0.546999999999997,ok
354,354,2022.06.30 12:40:41:051,196.414,957.909009025114,163.147712801366,4.61013765380396,-913.805868688522,276.804449122752,76.9922130331397,2.713189,-2.57987,-1.939909,4e-06,-8e-06,-1.2e-05,254,254,2,0.125892541179417,-9,0.0,0.5509999999999877,ok
355,355,2022.06.30 12:40:41:602,196.965,959.554679766598,163.244710801075,4.58518455033888,-915.8759518053,275.739583457787,76.7079297155142,2.706417,-2.576388,-1.94606,0.0,0.0,0.0,254,254,2,0.125892541179417,-9,0.0,0.5510000000000161,ok
356,356,2022.06.30 12:40:42:151,197.514,960.985319715465,163.342661737441,4.56749182338952,-917.734909860752,274.588994020181,76.5264940690249,2.703299,-2.574244,-1.947279,0.000139,-9.5e-05,-9.6e-05,254,254,2,0.125892541179417,-9,0.0,0.5490000000000066,ok
357,357,2022.06.30 12:40:42:747,198.11,959.018521860769,163.3332521526,4.72799384200795,-915.603075499254,274.11498011143,79.0475242296234,3.35643,-3.376837,-2.612918,0.0,0.0,0.0,0,0,2,0.0199526231496888,-17,0.0,0.5960000000000036,ok
358,358,2022.06.30 12:40:43:295,198.658,960.853683002549,163.460577143487,4.68633001929887,-918.018172469138,272.616584356831,78.502440023236,3.364773,-3.395304,-2.631169,0.0,0.0,0.0,254,254,2,0.0199526231496888,-17,0.0,0.5479999999999734,ok
359,359,2022.06.30 12:40:43:861,199.224,963.014802840733,163.596051596867,4.64679341419756,-920.778283291198,271.068737230573,78.0166854327545,3.36112,-3.39118,-2.639561,0.026497,-0.015271,-0.021601,254,254,2,0.0199526231496888,-17,0.0,0.5660000000000025,ok
360,360,2022.06.30 12:40:44:392,199.755,964.927165702694,163.711335675545,4.61462736606,-923.193380260617,269.762380834967,77.6316664787009,3.360422,-3.392029,-2.640221,1e-06,-1e-06,0.0,254,254,2,0.0199526231496888,-17,0.0,0.5310000000000059,ok
361,361,2022.06.30 12:40:44:956,200.319,960.058239692293,163.050625040236,4.70356195769055,-915.263160369563,278.939975495927,78.725224304013,1.86086,-4.093029,-2.169512,7.4e-05,-0.000163,-0.000235,254,254,2,0.0501187233627272,-13,0.0,0.563999999999993,ok
362,362,2022.06.30 12:40:45:536,200.899,962.183598815259,163.144786687996,4.63847759017575,-917.832729879003,278.075416933276,77.8101554382592,1.864464,-4.091114,-2.181241,0.0,0.0,0.0,254,254,2,0.0501187233627272,-13,0.0,0.5800000000000125,ok
363,363,2022.06.30 12:40:46:082,201.445,964.278932140533,163.217538123117,4.57370290071471,-920.268410596662,277.538072873918,76.8929745387286,1.863631,-4.091139,-2.182506,0.0,0.0,0.0,254,254,2,0.0501187233627272,-13,0.0,0.5459999999999923,ok
