,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
160,2022.07.01 13:19:38:750,102.982,943.527681816623,163.750711908291,4.77849853544832,-902.688377985315,263.097499485561,78.5995188849047,1.735897,6.3e-05,-2.358453,0.0,0.0,0.0,254,254,199,0.0630957344480193,-12,0.0,0.5510000000000019,ok
161,2022.07.01 13:19:39:297,103.529,943.714457231351,163.857820097025,4.77819397554624,-903.357821942357,261.461426971899,78.6100790537894,1.735399,0.000206,-2.357138,0.0,0.0,0.0,254,254,199,0.0630957344480193,-12,0.0,0.546999999999997,ok
162,2022.07.01 13:19:39:861,104.093,943.477812360533,163.306676017784,4.57245463421839,-900.839617376229,270.150429137335,75.2137741306797,-1.045387,-0.704994,-0.189411,0.0,0.0,0.0,254,254,199,0.125892541179417,-9,0.0,0.5640000000000072,ok
163,2022.07.01 13:19:40:410,104.642,943.642086423564,163.294807461314,4.52962222573933,-900.994089915784,270.400187612231,74.5236589675769,-1.041027,-0.703262,-0.192991,0.0,0.0,0.0,254,254,199,0.125892541179417,-9,0.0,0.5489999999999924,ok
164,2022.07.01 13:19:40:961,105.193,943.656454560053,163.273044274493,4.50353397079603,-900.937437394014,270.756261673476,74.0964567260817,-1.041112,-0.703253,-0.192977,-0.00049,1.9e-05,0.000251,254,254,199,0.125892541179417,-9,0.0,0.5510000000000019,ok
165,2022.07.01 13:19:41:513,105.745,943.889312281874,163.249989697921,4.47014678698442,-901.091909934035,271.198059505969,73.5664068143815,-1.041028,-0.70317,-0.193135,0.0,0.0,0.0,254,254,199,0.125892541179417,-9,0.0,0.5520000000000067,ok
166,2022.07.01 13:19:42:062,106.294,943.021017526721,162.736073578211,4.7436676731754,-897.451230092676,278.905199978784,77.9860149454325,-1.895949,-0.287522,2.096751,0.0,0.0,0.0,254,254,199,0.199526231496888,-7,0.0,0.5489999999999924,ok
167,2022.07.01 13:19:42:611,106.843,942.96913889284,162.638994896083,4.75317339240785,-896.915674926949,280.406097348612,78.1376320626587,-1.892708,-0.287106,2.091381,0.0,0.0,0.0,254,254,199,0.199526231496888,-7,0.0,0.5490000000000066,ok
168,2022.07.01 13:19:43:175,107.407,943.03749613413,162.530468900394,4.74591404227633,-896.457356031233,282.127893634919,78.0242242226377,-1.891951,-0.287015,2.090623,3e-06,-5e-06,-1e-05,254,254,199,0.199526231496888,-7,0.0,0.563999999999993,ok
169,2022.07.01 13:19:43:706,107.938,942.295875342114,162.177220724331,4.8414528390039,-893.872301496503,287.383062590747,79.5286152279004,-2.705331,-0.113449,3.326465,-0.093801,0.074951,0.041278,254,254,199,0.794328234724281,-1,0.0,0.5310000000000059,ok
170,2022.07.01 13:19:44:257,108.489,942.252595956752,162.004326990877,4.86030975749287,-892.935079956365,290.057642827574,79.833961494267,-2.704271,-0.114138,3.325121,-0.031292,0.025003,0.01377,254,254,199,0.794328234724281,-1,0.0,0.5510000000000019,ok
171,2022.07.01 13:19:44:804,109.036,942.387873152192,161.863107938676,4.86232846430376,-892.342872268868,292.298692975233,79.878506872803,-2.703984,-0.114205,3.325188,-0.009534,0.00762,0.004193,254,254,199,0.794328234724281,-1,0.0,0.546999999999997,ok
172,2022.07.01 13:19:45:353,109.585,942.311023334469,161.722856002886,4.87172040720634,-891.539539520045,294.454019350709,80.0258999215439,-2.702895,-0.114161,3.324164,0.0,0.0,0.0,254,254,199,0.794328234724281,-1,0.0,0.5489999999999924,ok
173,2022.07.01 13:19:49:242,113.474,943.335365471227,163.09096884389,4.46826187382254,-899.80967454079,273.538012397868,73.4922929629683,1.644092,-0.246219,-2.383603,0.000786,0.000253,-0.000534,0,0,199,0.01,-20,0.0,3.88900000000001,jumped
174,2022.07.01 13:19:49:809,114.041,943.550988146237,163.197853970208,4.44199068906693,-900.556354767843,271.930799441696,73.0777629241347,1.638037,-0.249791,-2.380441,0.056897,0.025482,-0.049487,254,254,199,0.01,-20,0.0,0.5669999999999931,ok
175,2022.07.01 13:19:50:371,114.603,943.517573755107,163.284556883475,4.42303576061603,-900.958021142254,270.565077216168,72.7639685226604,1.634842,-0.251411,-2.378446,0.0,0.0,0.0,254,254,199,0.01,-20,0.0,0.5619999999999976,ok
176,2022.07.01 13:19:50:903,115.135,943.806477633333,163.380157841429,4.40618537295683,-901.704701369772,269.149903619451,72.5095037352294,1.634112,-0.251213,-2.37766,-1e-06,1e-06,-1e-06,254,254,199,0.01,-20,0.0,0.5320000000000107,ok
