RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,ID_sorted
2021.03.21 14:27:39:328,228.913999999999,864.827265901386,-194.945344587542,9.96575996111024,-822.96445937547,219.671473977347,149.666544029426,7.96654980600243,-2.22849980823104,-0.36004756756549,0.00999999977648258,0.990000069141388,635,0.0662254028218944,-11.9140486177409,3
2021.03.21 14:27:39:828,229.413999999999,860.691343487434,-194.954424003385,10.06708009288,-818.738343512425,218.682402571382,150.449716377533,8.04583649530319,-2.20537767672359,-0.254776924848557,0.00999999977648258,0.990000069141388,635,0.0653032115205248,-11.7897539138794,3
2021.03.21 14:27:40:328,229.913999999999,856.657348632813,-194.971697860039,9.99126236255352,-815.026029960439,217.954127815681,148.628328209796,7.95231949162057,-2.11342342832332,-0.450815295943847,0.00999999977648258,0.990000069141388,635,0.065611635893939,-11.8506546020508,3
2021.03.21 14:27:40:828,230.413999999999,852.610466787741,-194.915966655606,9.95999215027995,-811.464282806438,216.156198425819,147.46791468166,7.85965187601532,-2.29017360227484,-0.567635584657572,0.00999999977648258,0.990000069141388,635,0.0659155387440706,-11.8363813061578,3
2021.03.21 14:27:41:328,230.913999999999,848.544525146476,-194.927157998085,10.113546848298,-807.169371483353,215.180852639417,149.003556171615,7.92324059905806,-2.23795396735584,-0.33224915712899,0.00999999977648258,0.990000069141388,635,0.065888417064551,-11.8247652053828,3
2021.03.21 14:27:41:828,231.413999999999,844.417677659247,-194.927472158121,10.0933002600296,-803.29323755801,214.152217129835,147.985723680733,7.93687064249903,-2.23610677355843,-0.452146826456771,0.00999999977648258,0.990000069141388,635,0.066195861271161,-11.8080044434622,3
2021.03.21 14:27:42:328,231.913999999999,840.30750548164,-194.980752369143,10.1353502453502,-799.080246559878,213.825215120458,147.872345134062,8.0080788778256,-2.04118782050833,-0.432463329917465,0.00999999977648258,0.990000069141388,635,0.0655978299831,-11.7888814278361,3
2021.03.21 14:27:42:828,232.413999999999,836.245156133735,-194.994941406023,10.2218093145466,-794.948996798993,212.930825975659,148.399360815539,7.96535400891283,-1.99574665392119,-0.32060729236752,0.00999999977648258,0.990000069141388,635,0.0639712827163389,-11.8359130859373,3
2021.03.21 14:27:43:328,232.913999999999,832.19967215401,-194.995169712248,10.1769131978357,-791.214042063406,211.933667924284,147.039659954193,7.918988745983,-1.99956857258337,-0.490983250594603,0.00999999977648258,0.990000069141388,635,0.0595502244779753,-11.9309069043117,3
2021.03.21 14:27:43:828,233.413999999999,828.13992822697,-194.99823099322,10.2889807793953,-787.064986798749,210.867354668896,147.91639808823,7.93953897395497,-2.01047269194603,-0.329692851915536,0.00999999977648258,0.990000069141388,635,0.0588936084316553,-12.2332259912412,3
2021.03.21 14:27:44:328,233.913999999999,824.062345958883,-194.996428548722,10.379114269075,-782.971674945225,209.744317571838,148.463554283077,7.95436996742165,-2.03684518084574,-0.229432839155286,0.00999999977648258,0.990000069141388,635,0.0588764112208891,-12.2991390228271,3
2021.03.21 14:27:44:828,234.413999999999,819.961561095032,-195.044407974999,10.3299866262472,-779.022370607562,209.385687220728,147.03312364658,7.992845152638,-1.87396533355207,-0.43065228973917,0.00999999977648258,0.990000069141388,635,0.0611824700856369,-12.3005867004395,3
2021.03.21 14:27:45:328,234.913999999999,815.908088030126,-195.043161991664,10.2641934167772,-775.337545934337,208.377202128063,145.38444937791,7.94012274831539,-1.90076708969052,-0.643408238887787,0.00999999977648258,0.990000069141388,635,0.0585223655710574,-12.1337299346924,3
2021.03.21 14:27:45:828,235.413999999999,811.813218602587,-195.045954806625,10.1650739165972,-771.676695357298,207.433659882145,143.272664468935,7.91663494243603,-1.9143155020082,-0.908043742179871,0.00999999977648258,0.990000069141388,635,0.0566157940786818,-12.3224902242999,3
2021.03.21 14:27:46:328,235.913999999999,807.682177734367,-195.037276426951,10.450133641561,-767.086746446382,206.075260444343,146.497123216578,8.0348506096019,-1.99866840160709,-0.387228463093391,0.00999999977648258,0.990000069141388,635,0.0547453269150093,-12.4706239700317,3
2021.03.21 14:27:46:828,236.413999999999,803.656391647619,-195.029823424681,10.368691354428,-763.489302576815,205.002340384299,144.643303330751,7.94362642365304,-2.0191564519266,-0.618152900686502,0.00999999977648258,0.990000069141388,635,0.0522661855751277,-12.6165294647217,3
2021.03.21 14:27:47:328,236.913999999999,799.534912109367,-195.023757791519,10.4837484359734,-759.314588442678,203.795281946259,145.480845193704,8.00737647861929,-2.07102476795508,-0.459172225000139,0.00999999977648258,0.990000069141388,635,0.0507496176007606,-12.8177919387817,3
2021.03.21 14:27:47:828,237.413999999999,795.420593261711,-195.000432845525,10.541326550075,-755.349034571515,202.40127945264,145.517963418463,8.02922314789704,-2.16003629524249,-0.424534392356939,0.00999999977648258,0.990000069141388,635,0.0488659634627616,-12.9688422611797,3
2021.03.21 14:27:48:328,237.913999999999,791.25714053747,-195.016441964878,10.6020718250632,-751.190353228559,201.511913038498,145.581026992963,8.03674783235684,-2.10705268366043,-0.384028818529252,0.00999999977648258,0.990000069141388,635,0.0474517424711358,-13.0543075867438,3
2021.03.21 14:27:48:828,238.413999999999,787.180191605171,-195.028256257375,10.6872552235922,-747.069747675164,200.571665687146,145.980987431767,7.98773088893281,-2.06025404360361,-0.288040965795517,0.00999999977648258,0.990000069141388,635,0.0502523115957066,-13.2462540379274,3
2021.03.21 14:27:49:328,238.913999999999,783.085876464835,-195.024118542671,10.7746697107955,-742.983594902028,199.417109693988,146.39549417197,8.02907822688468,-2.09130631365303,-0.213956303397135,0.00999999977648258,0.990000069141388,635,0.0505420979828979,-12.9884395599365,3
2021.03.21 14:27:49:828,239.413999999999,778.88591482979,-195.052990378652,10.8999779292514,-738.589384839919,198.636742978924,147.283502672576,8.09803042106339,-2.02060370170069,-0.0710297733550748,0.00999999977648258,0.990000069141388,635,0.0485383953685752,-12.9416379928589,3
2021.03.21 14:27:50:328,239.913999999999,774.853073120109,-195.095622062683,10.9193609952934,-734.569937388194,198.141824522775,146.777966613063,8.08505023101787,-1.88598444447853,-0.129084690472617,0.00999999977648258,0.990000069141388,635,0.0457970057160328,-13.1391458511353,3
2021.03.21 14:27:50:828,240.413999999999,770.787718552801,-195.224012165116,10.9184875855076,-730.274627884072,198.739948608996,145.996765226849,8.15503582304964,-1.48758322991729,-0.232972526637121,0.00999999977648258,0.990000069141388,635,0.0442598267600468,-13.3822555175198,3
2021.03.21 14:27:51:328,240.913999999999,766.662840656023,-195.219333307765,10.6547319020072,-727.020078751751,197.790451528597,141.748386152477,8.09961411461352,-1.58118266849714,-0.844761565465951,0.00999999977648258,0.990000069141388,635,0.0409915103507166,-13.5133932060179,3
2021.03.21 14:27:51:828,241.413999999999,762.533904453485,-195.210565690725,10.7435126934413,-722.923089549129,196.557000506601,142.146022138579,8.09493918968235,-1.69004540666472,-0.72518780546336,0.00999999977648258,0.990000069141388,635,0.0433039247779132,-13.8689652029073,3
2021.03.21 14:27:52:328,241.913999999999,758.444090069457,-195.31533010051,10.8515823832099,-718.428567510999,196.746286351275,142.788871175059,8.20924889053786,-1.39926385947163,-0.581732404119501,0.00999999977648258,0.990000069141388,635,0.0440195517644823,-13.6775442249356,3
2021.03.21 14:27:52:828,242.413999999999,754.36945606837,-195.344130357849,10.860167833132,-714.449888341644,196.04302386996,142.132848482158,8.12863106127879,-1.39196997740191,-0.626595497131661,0.00999999977648258,0.990000069141388,635,0.0445868004758244,-13.5356721254162,3
2021.03.21 14:27:53:328,242.913999999999,750.313920762796,-195.300244794952,10.8063984447054,-710.885790870061,194.479592180783,140.67712568624,8.00763681329532,-1.63456376466436,-0.801133039925242,0.00999999977648258,0.990000069141388,635,0.0440014106000606,-13.4838581085205,3
2021.03.21 14:27:53:828,243.413999999999,746.181640624992,-195.479775389036,10.7945988972977,-706.388785056917,195.630293154191,139.751563690126,8.20465904855611,-1.09613703885036,-0.896639883519258,0.00999999977648258,0.990000069141388,635,0.044010347902337,-13.5689147313435,3
2021.03.21 14:27:54:328,243.913999999999,742.090209390507,-195.555435816819,10.8957009449188,-702.020763762776,195.419262516133,140.271034679368,8.25257017991137,-1.00779410648627,-0.736960616066553,0.00999999977648258,0.990000069141388,635,0.043715995532794,-13.5793433679594,3
2021.03.21 14:27:54:828,244.413999999999,737.98335007001,-195.587131014409,10.9467095968852,-697.908111721857,194.690512265555,140.140077196506,8.26147780017459,-1.07368152699897,-0.703926772442895,0.00999999977648258,0.990000069141388,635,0.0435703830460689,-13.6053644756098,3
2021.03.21 14:27:55:328,244.913999999999,733.870068359367,-195.573000264168,10.9688198089603,-694.014123328557,193.419691723138,139.636864662327,8.22293562676049,-1.2832249412,-0.724679756163947,0.00999999977648258,0.990000069141388,635,0.0427051420937201,-13.6058795928952,3
