,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
1278,2022.07.01 15:01:41:524,9.907,1485.02787959571,44.1922720877882,6.33141059191719,1058.27745113158,1028.8521679148,163.767689670436,1.845212,-6.811786,13.686132,0.0,0.0,0.0,254,254,627,0.158489319246111,-8,0.0,0.5510000000000002,ok
1279,2022.07.01 15:01:42:073,10.456,1487.11605703739,44.4707749323659,6.45130451069308,1054.49778377596,1035.19532487874,167.090485842898,1.862076,-6.818071,13.676847,0.0,0.0,0.0,254,254,627,0.158489319246111,-8,0.0,0.5489999999999995,ok
1280,2022.07.01 15:01:42:624,11.007,1489.56840491968,44.7539685326546,6.5691951443701,1050.85200521211,1041.86569634551,170.411169983447,1.866551,-6.816258,13.669073,0.000184,-0.000293,-0.000429,254,254,627,0.158489319246111,-8,0.0,0.5510000000000002,ok
1281,2022.07.01 15:01:43:174,11.557,1455.51958083884,44.282247715741,4.80357801308596,1038.35974667587,1012.66492814992,121.88531488087,-3.450169,-10.11867,-5.450916,6.2e-05,-9.8e-05,-0.000143,254,254,627,0.501187233627272,-3,0.0,0.5500000000000007,ok
1282,2022.07.01 15:01:43:720,12.103,1452.87744885588,44.3966587853403,4.61869494379602,1034.72945313685,1013.1637452919,116.991732319817,-3.450831,-10.117291,-5.451131,2.1e-05,-3.3e-05,-4.8e-05,254,254,627,0.501187233627272,-3,0.0,0.5459999999999994,ok
1283,2022.07.01 15:01:44:271,12.654,1450.50103401964,44.5085647836993,4.44278938249009,1031.31028465916,1013.76887801975,112.361062681302,-3.452014,-10.114815,-5.451509,0.0001,-8e-06,-0.000137,254,254,627,0.501187233627272,-3,0.0,0.5510000000000002,ok
1284,2022.07.01 15:01:44:818,13.201,1459.47765392534,44.5927530194477,4.72744832290921,1035.77997972053,1021.15941825489,120.284240143374,-7.134656,-0.606369,8.521918,3.3e-05,-3e-06,-4.6e-05,254,254,627,0.0199526231496888,-17,0.0,0.5470000000000006,ok
1285,2022.07.01 15:01:45:367,13.75,1464.90748938888,44.7125710314589,4.71933246388962,1037.49995026125,1027.14241591957,120.52494801674,-7.18207,-0.519721,8.661542,1.1e-05,-1e-06,-1.5e-05,254,254,627,0.0199526231496888,-17,0.0,0.5489999999999995,ok
1286,2022.07.01 15:01:45:916,14.299,1470.4411225835,44.8233043488237,4.71496438114147,1039.4310458633,1033.03968981207,120.868503561243,-7.194653,-0.492244,8.702965,4e-06,0.0,-5e-06,254,254,627,0.0199526231496888,-17,0.0,0.5489999999999995,ok
1287,2022.07.01 15:01:46:463,14.846,1475.47928939372,44.9278202236877,4.71861583067959,1041.09436388271,1038.47457405791,121.376348423772,-7.193985,-0.485743,8.710082,0.0,0.0,0.0,254,254,627,0.0199526231496888,-17,0.0,0.5470000000000006,ok
1288,2022.07.01 15:01:47:032,15.415,1442.11049917757,44.720824948976,3.7974651246977,1022.43283463711,1012.51741259594,95.5106260273606,-4.391187,-5.819409,-3.296391,0.0,0.0,0.0,254,254,627,0.199526231496888,-7,0.0,0.5689999999999991,ok
1289,2022.07.01 15:01:47:565,15.948,1441.60382113965,44.7973258598501,3.64916553243363,1020.8932079631,1013.69616178461,91.7536192331463,-4.391129,-5.818859,-3.297295,0.0,0.0,0.0,254,254,627,0.199526231496888,-7,0.0,0.5330000000000013,ok
1290,2022.07.01 15:01:48:114,16.497,1441.11997590813,44.8570952141436,3.51538389392077,1019.64194262044,1014.56828828323,88.3644850645214,-4.391002,-5.818013,-3.297414,0.003647,-0.000265,-0.005918,254,254,627,0.199526231496888,-7,0.0,0.5489999999999995,ok
1291,2022.07.01 15:01:48:678,17.061,1449.87319335681,42.7340153447649,3.44404773709033,1063.02568778894,982.100995125886,87.0993644539267,12.157604,-7.71874,-9.018208,0.0,0.0,0.0,254,254,627,0.398107170553497,-4,0.0,0.5640000000000001,ok
1292,2022.07.01 15:01:49:214,17.597,1440.47029243114,42.752234614659,3.44380622344401,1055.82156437716,976.067783190985,86.5284357275814,12.120318,-7.714243,-8.981524,0.0,0.0,0.0,254,254,627,0.398107170553497,-4,0.0,0.5360000000000014,ok
1293,2022.07.01 15:01:49:766,18.149,1431.20733986746,42.7763470854593,3.44964393790421,1048.61744096492,970.226610614143,86.11757225357,12.104547,-7.709688,-8.967916,8e-06,0.0,-6e-06,254,254,627,0.398107170553497,-4,0.0,0.5519999999999996,ok
1294,2022.07.01 15:01:50:312,18.695,1422.08747120866,42.7870893708737,3.44635418555378,1041.75833140579,964.242850051363,85.4873139131814,12.094768,-7.70511,-8.960805,0.0,0.0,0.0,254,254,627,0.398107170553497,-4,0.0,0.5459999999999994,ok
1295,2022.07.01 15:01:52:498,20.881,1441.4714603397,43.4599203911603,3.88540023464844,1043.89545334574,989.232896073467,97.6756406892091,3.221279,-2.427416,3.633911,0.0,0.0,0.0,254,254,627,0.0158489319246111,-18,0.0,2.186,jumped
1296,2022.07.01 15:01:53:045,21.428,1440.75823952137,43.5523088648204,3.95902401988266,1041.69148143765,990.337327566511,99.474317677319,3.221364,-2.427236,3.632747,6e-06,-1e-05,-1.9e-05,254,254,627,0.0158489319246111,-18,0.0,0.5470000000000006,ok
1297,2022.07.01 15:01:53:601,21.984,1440.33006739343,43.6367360041642,4.02956191199862,1039.8325233822,991.491210430744,101.213665049523,3.221065,-2.425984,3.631982,0.0,0.0,0.0,254,254,627,0.0158489319246111,-18,0.0,0.5560000000000009,ok
1298,2022.07.01 15:01:56:343,24.726,1435.41553374756,43.9337686584651,3.58000956075729,1031.68626856238,993.985685759326,89.630654851906,-0.31513,-0.984488,4.886194,0.005515,0.005685,-0.005873,254,254,627,0.316227766016838,-5,0.0,2.7419999999999973,jumped
1299,2022.07.01 15:01:56:890,25.273,1437.01701161031,44.0252040665804,3.63394520278406,1031.18678216971,996.682504522934,91.0807175738737,-0.329029,-0.965737,4.914121,0.001085,-0.000163,-0.000968,254,254,627,0.316227766016838,-5,0.0,0.5470000000000006,ok
1300,2022.07.01 15:01:25:637,0.0,1092.30915723546,76.2422023015084,3.12663178383855,259.384184285594,1059.39116070827,59.577752023004,2.835205,-3.094163,2.692847,0.0,0.0,0.0,0,0,642,0.0316227766016838,-15,0.0,0.0,ok
1301,2022.07.01 15:01:26:170,0.533,1092.7499000462,76.3703158480122,3.18909434014119,257.102976107491,1060.33241240074,60.7912735519931,2.842076,-3.091512,2.697861,0.0,0.0,0.0,254,254,642,0.0316227766016838,-15,0.0,0.533,ok
1302,2022.07.01 15:01:26:721,1.084,1093.1973829645,76.4983408454197,3.25149025121322,254.821767929387,1061.27366409275,62.0047950800508,2.844456,-3.088887,2.699568,-0.267357,0.110039,0.187289,254,254,642,0.0316227766016838,-15,0.0,0.551,ok
1303,2022.07.01 15:01:27:274,1.637,1093.58017856608,76.6069299515987,3.30252128620196,252.885573603925,1062.07232779835,62.9989217417315,2.843341,-3.086924,2.698587,5e-06,-3.9e-05,3.8e-05,254,254,642,0.0316227766016838,-15,0.0,0.5529999999999999,ok
1304,2022.07.01 15:01:27:840,2.203,1090.60866908013,75.5748598484594,3.07825936108864,271.294810291724,1054.70207445289,58.5655967807397,-0.696388,2.54659,0.300734,0.0,0.0,0.0,254,254,642,0.316227766016838,-5,0.0,0.5659999999999998,ok
1305,2022.07.01 15:01:28:387,2.75,1090.79582652913,75.5053656366168,3.08771908891929,272.618213180984,1054.54380587966,58.7554805632681,-0.696112,2.546074,0.300785,0.0,0.0,0.0,254,254,642,0.316227766016838,-5,0.0,0.5470000000000002,ok
1306,2022.07.01 15:01:28:936,3.299,1091.02341811164,75.4434615608491,3.11400841747186,273.807727279394,1054.44240152066,59.2676068814471,-0.695552,2.544982,0.300956,0.0,0.0,0.0,254,254,642,0.316227766016838,-5,0.0,0.5489999999999999,ok
1307,2022.07.01 15:01:37:247,11.61,1102.19611875246,78.1582437152001,3.82963315459543,225.675934309043,1076.33052392345,73.6156242750585,2.035375,-1.575975,4.809237,0.0,0.0,0.0,254,254,642,0.0125892541179417,-19,0.0,8.311,jumped
1308,2022.07.01 15:01:37:794,12.157,1103.91968612701,78.248952545336,3.92758502876156,224.295878897548,1078.24515137968,75.6136605022475,2.036034,-1.574327,4.80692,0.0,0.0,0.0,254,254,642,0.0125892541179417,-19,0.0,0.5470000000000006,ok
1309,2022.07.01 15:01:38:341,12.704,1105.45037785118,78.3373825873189,4.01762972309747,222.915823486518,1079.96773947738,77.4516314789653,2.035971,-1.575123,4.805784,0.0,0.0,0.0,254,254,642,0.0125892541179417,-19,0.0,0.5470000000000006,ok
1310,2022.07.01 15:01:38:891,13.254,1106.75317481666,78.4119594686068,4.10531278518049,221.746893136814,1081.41256444438,79.2323848735541,2.035986,-1.575444,4.804695,2.8e-05,0.004632,-0.002188,254,254,642,0.0125892541179417,-19,0.0,0.5499999999999989,ok
