,id,azimuth,elevation,range,heading,angularVel,radialVel,rcs,rcs_dsbm,TrackTime,SystemTime,pos_x,pos_y,pos_z,vel,velXY,vel_x,vel_y,vel_z,acc,accXY,acc_x,acc_y,acc_z,disp,dispXY,MaxVelocity,probUAV,label
441,2,-235.819855506267,20.7060795355281,322.835530412307,-414.6787529751043,0.6316321604151938,-8.395548558129883,0.0151597508538776,-17.8520058798133,288.714,2021.06.18 14:49:50:428,-169.652766645014,249.82262979429,114.14626068693,9.066312044250704,9.063433983568022,5.2401171072386,-7.3950664822516,0.228426157061099,-1.1933615884642492,-1.1988294396800114,-0.6060309411333407,1.0395008012954392,0.3512960425658546,4.480191740971134,4.47973297499817,11.704393767363342,1.0,1.0
442,2,-236.030444595049,21.0230909383522,319.378891279113,-412.0065444869075,5.344416976393688,-6.934153058469402,0.0137637518280349,-18.4435781802772,289.214,2021.06.18 14:49:50:928,-166.575165085315,247.240949732074,114.575100474683,7.757532176533223,7.724113472329199,4.75474382652272,-6.08722761834659,0.719288910334961,-2.6175597354349627,-2.6786410224776454,-0.9707465614317599,2.61567772781002,0.981725506547724,4.039877085687799,4.01705156848967,11.704393767363342,1.0,1.0
443,2,-236.119705094232,21.0370303789775,316.731299223724,-409.7056079975247,4.601872978765655,-5.570844746826722,0.0116098404418547,-18.940399311207,289.714,2021.06.18 14:49:51:428,-164.796704785595,245.425417022982,113.697367004161,6.352020600765925,6.304960253352218,4.0775131769376,-4.80899262717791,0.771778411335424,-2.811023151534597,-2.838306437953962,-1.3544612991702394,2.55646998233736,0.10497900200092602,2.688772229241008,2.5414720253158523,11.704393767363342,1.0,1.0
444,2,-236.323178585444,21.4187261278385,314.798289646612,-406.0355309660034,7.340154063042505,-4.362141746274919,0.0120540409541304,-19.3294150807033,290.214,2021.06.18 14:49:51:928,-162.502526290417,243.875911779707,114.958373052899,5.454920624887673,5.291174230354806,3.67319744398905,-3.80843081510523,1.32651207603027,-1.7941999517565037,-2.027572045994823,-0.8086314658971006,2.001123624145361,1.109467329389692,3.042097585816053,2.7684330345294623,11.704393767363342,1.0,1.0
445,2,-236.553927465316,21.8267693300855,313.258031442626,-402.5123799966913,7.0463019386241825,-3.778532768414403,0.0131464668303278,-18.8833006587597,290.714,2021.06.18 14:49:52:428,-160.275636126028,242.645885244044,116.469572098502,5.161721298357394,4.884576756163132,3.6005746275469,-3.30075028414975,1.66861519682256,-0.5863986530605576,-0.813194948383348,-0.1452456328842997,1.0153610619109603,0.68420624158458,2.9590078807125555,2.5440135775360186,11.704393767363342,1.0,1.0
446,2,-236.765955880423,22.1635039498873,311.229245479976,-401.691595908693,1.6415681759967242,-4.108412164538776,0.0160900534749238,-18.5384024682446,291.214,2021.06.18 14:49:52:928,-157.969045811171,241.089106643537,117.411448250403,5.458296700984904,5.23958612684794,3.91258627412461,-3.48495788040388,1.52962089921826,0.5931508052550196,0.7100187413696162,0.6240232931554193,-0.3684151925082606,-0.27798859520859986,2.937864730907205,2.782789695896661,11.704393767363342,1.0,1.0
447,2,-236.869147220504,22.3813194738364,308.664788647238,-403.8103840171877,-4.2375762169894955,-4.854333754397311,0.0202490989087125,-17.2406874505179,291.714,2021.06.18 14:49:53:428,-155.99341709698,239.01195748154,117.529915330381,5.947359969755522,5.84763437948177,4.21985632250891,-4.04816507240981,1.08455648711962,0.978126537541236,1.2160965052676591,0.614540096768601,-1.1264143840118592,-0.89012882419728,2.869092523178581,2.8666456804985025,11.704393767363342,1.0,1.0
448,2,-236.98731142561,22.6480193984839,305.612871401781,-405.41733164384834,-3.213895253321226,-5.620974206088552,0.0206469828469128,-16.7152342216994,292.214,2021.06.18 14:49:53:928,-153.666078249872,236.509731157254,117.681707440856,6.564374279993301,6.524528936775165,4.57981242500043,-4.64702012031669,0.722171614660328,1.2340286204755593,1.3537891145867906,0.7199122049830393,-1.1977100958137612,-0.7247697449185841,3.4206261900433352,3.417256602482162,11.704393767363342,1.0,1.0
449,2,-237.022305854013,22.7628560823815,302.002666437739,-407.4656898460182,-4.09671640433983,-6.447201596634812,0.0209301478973014,-16.9107453889938,292.714,2021.06.18 14:49:54:428,-151.580672956752,233.612777360585,116.850244833513,7.155914087771754,7.154324908003359,4.83654961913487,-5.27182631266657,0.15080299165799,1.183079615556906,1.259591942456387,0.5134743882688806,-1.249612384699759,-1.142737246004676,3.665049331730396,3.569489674534415,11.704393767363342,1.0,1.0
450,2,-237.081084463332,22.8640024926925,297.850162082257,-408.76084633641085,-2.590312980785285,-7.282612874204718,0.0200269280938605,-17.0961964042078,293.214,2021.06.18 14:49:54:928,-149.149210242183,230.382756740248,115.728202191899,7.822989796231231,7.812138665400087,5.14978896941044,-5.87445181255048,-0.411896618702926,1.334151416918953,1.3156275147934569,0.6264787005511394,-1.20525099976782,-1.125399220721832,4.1957149366635615,4.042900461320015,11.704393767363342,1.0,1.0
451,2,-237.048217845413,22.9982165210649,293.323932287837,-410.80402368200345,-4.086354691185122,-8.018224692285045,0.022194917546432,-16.7444701284744,293.714,2021.06.18 14:49:55:428,-146.867184884853,226.572893008869,114.602252168496,8.447782007248536,8.40653044513678,5.31271606480952,-6.51496754709695,-0.833826550896821,1.2495844220346104,1.1887835594733875,0.3258541907981609,-1.281031469092941,-0.84385986438779,4.581535205406096,4.44102481226735,11.704393767363342,1.0,1.0
452,2,-236.96659383234,23.156268821572,288.606242917629,-412.7895411522414,-3.9710349404758887,-8.602217615484442,0.0232071434362045,-16.5068958390434,294.214,2021.06.18 14:49:55:928,-144.652363472278,222.461076198637,113.491507732072,8.965303822945671,8.892746494694435,5.37783957185465,-7.08235707644668,-1.13830242854177,1.0350436313942701,0.9724320991153093,0.13024701409025852,-1.1347790586994595,-0.608951755289898,4.800648349291375,4.670382358063111,11.704393767363342,1.0,1.0
453,2,-236.892611352083,23.3403183767725,283.680470974656,-414.228279829363,-2.877477354243183,-9.062781679335655,0.0276290555161827,-15.8742678989889,294.714,2021.06.18 14:49:56:428,-142.269255562483,218.179174558354,112.391773966208,9.390365071572406,9.290149159561064,5.43062434214428,-7.53758520093824,-1.36824148837618,0.8501224972534693,0.7948053297332578,0.10556954057926049,-0.9104562489831203,-0.45987811966882,5.022280291119473,4.9003964091475,11.704393767363342,1.0,1.0
