,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
2060,2022.06.30 12:48:13:919,4.421,1421.64961458191,43.5515716907776,2.40243838059585,1029.44131801331,978.665866877738,59.5929560968652,-0.455013,-12.365923,-8.297029,0.0,0.0,0.0,254,254,1782,0.794328234724281,-1,0.0,0.5660000000000003,ok
2061,2022.06.30 12:48:14:466,4.968,1416.98431419633,43.6714685917528,2.20266246638129,1024.16319148017,977.736331450935,54.460720308125,-0.452609,-12.371777,-8.310259,0.0,0.0,0.0,254,254,1782,0.794328234724281,-1,0.0,0.5469999999999997,ok
2062,2022.06.30 12:48:15:015,5.517,1412.06157875604,43.8003678513179,2.0043676566324,1018.54005109391,976.757344652011,49.3878141343594,-0.455189,-12.369786,-8.313012,0.000132,-8.9e-05,-9.6e-05,254,254,1782,0.794328234724281,-1,0.0,0.5490000000000004,ok
2063,2022.06.30 12:48:17:206,7.708,1441.75900435357,43.9852204593411,3.86988904629591,1035.00761702182,998.979408888346,97.3057036278769,3.436976,-8.98041,8.815475,0.004234,-0.001482,-0.003482,254,254,1782,0.0630957344480193,-12,0.0,2.191,jumped
2064,2022.06.30 12:48:17:755,8.257,1441.32247332405,44.2684510084505,3.95779570682578,1029.63676919384,1003.67416926918,99.4824485769495,3.436863,-8.978715,8.814552,0.0,0.0,0.0,254,254,1782,0.0630957344480193,-12,0.0,0.5489999999999995,ok
2065,2022.06.30 12:48:18:305,8.807,1440.73048500822,44.5326535735715,4.03753967347225,1024.47704642719,1007.89912716032,101.441910694353,3.436862,-8.974283,8.812468,-0.000101,9.6e-05,-2e-05,254,254,1782,0.0630957344480193,-12,0.0,0.5500000000000007,ok
2066,2022.06.30 12:48:18:852,9.354,1440.44650309233,44.7888241079807,4.11410910489901,1019.66233751317,1012.17353642358,103.342043195851,3.436562,-8.969051,8.809415,0.029098,-0.04218,-0.013504,254,254,1782,0.0630957344480193,-12,0.0,0.5469999999999988,ok
919,2022.06.30 12:48:11:270,0.0,1332.27993090799,62.8256197716908,4.84083865265952,606.282111037186,1180.99603511886,112.428560295142,2.989366,-1.455444,7.016647,0.001023,-0.001288,-0.000709,0,0,1792,0.0158489319246111,-18,0.0,0.0,ok
920,2022.06.30 12:48:11:816,0.546,1333.89552097055,62.9461125302691,4.95825077328842,604.423152981735,1183.49419349323,115.288364429027,2.984396,-1.456032,7.013146,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.546,ok
921,2022.06.30 12:48:12:364,1.094,1335.71690374336,63.0540740063414,5.07206064835802,602.909208778924,1186.04180323926,118.088838948868,2.981817,-1.455596,7.009671,-2.7e-05,6.4e-05,6e-06,254,254,1792,0.0158489319246111,-18,0.0,0.548,ok
922,2022.06.30 12:48:12:912,1.642,1337.20611570397,63.1445484534874,5.17752400140039,601.606389637904,1188.11961049607,120.672030635178,2.984603,-1.451898,7.00949,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.5479999999999998,ok
923,2022.06.30 12:48:13:478,2.208,1338.85315379995,63.264327742825,5.29403387027915,599.747431582452,1190.61776886998,123.531834769063,2.985613,-1.44905,7.007626,0.001185,-0.0008,-0.000859,254,254,1792,0.0158489319246111,-18,0.0,0.5660000000000003,ok
924,2022.06.30 12:48:14:029,2.759,1340.56672296366,63.3643521334793,5.41884081574731,598.310723649652,1192.94447969953,126.597334244289,2.986057,-1.446755,7.005567,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.5509999999999997,ok
925,2022.06.30 12:48:14:575,3.305,1342.05461896701,63.463998477798,5.5191911749403,596.796779446841,1195.10801072851,129.077678260393,2.9869,-1.444333,7.0039,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.5460000000000003,ok
926,2022.06.30 12:48:15:124,3.854,1343.92428595195,63.5707825200835,5.63144898094691,595.282835244496,1197.65562047454,131.878152779303,2.987395,-1.442043,7.001916,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.5489999999999999,ok
927,2022.06.30 12:48:15:672,4.402,1345.45303542706,63.6762363548588,5.74496706144385,593.63500225037,1199.87601571822,134.680739332922,2.988216,-1.43905,6.999601,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.548,ok
928,2022.06.30 12:48:16:219,4.949,1347.34220100871,63.7825370737825,5.85658716483847,592.121058047559,1202.42362546378,137.481213851832,2.988711,-1.436795,6.99765,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.5469999999999997,ok
929,2022.06.30 12:48:16:769,5.499,1348.86478869948,63.881362373191,5.95587252232212,590.607113844748,1204.58715649323,139.961557867937,2.989305,-1.43439,6.995703,0.0,0.0,0.0,254,254,1792,0.0158489319246111,-18,0.0,0.5499999999999998,ok
930,2022.06.30 12:48:17:315,6.045,1339.02414942725,61.3407737083656,3.65784743428982,640.886603913369,1172.5835673553,85.4272277560085,-4.96408,4.495664,-2.844857,-0.000302,0.000288,-6.1e-05,254,254,1792,0.1,-10,0.0,0.5460000000000003,ok
931,2022.06.30 12:48:17:865,6.595,1340.20555748283,61.1794287782861,3.57171859048852,644.815645085133,1171.91843208045,83.4919679453596,-4.963346,4.494164,-2.844637,0.000779,-0.000381,-0.000443,254,254,1792,0.1,-10,0.0,0.5499999999999998,ok
932,2022.06.30 12:48:18:415,7.145,1341.23223019118,61.0268013678065,3.50688456903506,648.476908674732,1171.17498587646,82.0411279574037,-4.962148,4.491729,-2.84428,0.001651,-0.002879,-0.005547,254,254,1792,0.1,-10,0.0,0.5499999999999998,ok
933,2022.06.30 12:48:18:961,7.691,1342.58636364777,60.8859070869577,3.43682634418235,652.060935993855,1170.84447794655,80.4853282645345,-4.960722,4.488839,-2.843839,1e-06,-2e-06,0.0,254,254,1792,0.1,-10,0.0,0.5460000000000003,ok
